timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:10:24.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.61 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:10:25.511,45.0,0.0 %,0.0 %,142.0 MiB,8151.0 MiB,11.77 W,[N/A],180.0 MHz,11001.0 MHz
2026/07/04 19:10:26.511,50.0,93.0 %,0.0 %,142.0 MiB,8151.0 MiB,33.67 W,[N/A],2805.0 MHz,12001.0 MHz
2026/07/04 19:10:27.511,51.0,93.0 %,0.0 %,142.0 MiB,8151.0 MiB,36.63 W,[N/A],2805.0 MHz,12001.0 MHz
2026/07/04 19:10:28.511,51.0,93.0 %,0.0 %,142.0 MiB,8151.0 MiB,36.67 W,[N/A],2805.0 MHz,12001.0 MHz
2026/07/04 19:10:29.511,51.0,93.0 %,0.0 %,142.0 MiB,8151.0 MiB,36.68 W,[N/A],2805.0 MHz,12001.0 MHz
2026/07/04 19:10:30.511,51.0,69.0 %,0.0 %,142.0 MiB,8151.0 MiB,32.19 W,[N/A],2835.0 MHz,12001.0 MHz
2026/07/04 19:10:31.511,51.0,70.0 %,0.0 %,142.0 MiB,8151.0 MiB,31.81 W,[N/A],2827.0 MHz,12001.0 MHz
2026/07/04 19:10:32.511,51.0,70.0 %,0.0 %,142.0 MiB,8151.0 MiB,31.83 W,[N/A],2835.0 MHz,12001.0 MHz
2026/07/04 19:10:33.511,51.0,70.0 %,0.0 %,142.0 MiB,8151.0 MiB,31.78 W,[N/A],2835.0 MHz,12001.0 MHz
2026/07/04 19:10:34.511,51.0,71.0 %,0.0 %,142.0 MiB,8151.0 MiB,32.14 W,[N/A],2835.0 MHz,12001.0 MHz
2026/07/04 19:10:35.511,53.0,92.0 %,0.0 %,142.0 MiB,8151.0 MiB,36.42 W,[N/A],2842.0 MHz,12001.0 MHz
2026/07/04 19:10:36.511,53.0,92.0 %,0.0 %,142.0 MiB,8151.0 MiB,37.25 W,[N/A],2835.0 MHz,12001.0 MHz
2026/07/04 19:10:37.511,53.0,92.0 %,0.0 %,182.0 MiB,8151.0 MiB,37.28 W,[N/A],2835.0 MHz,12001.0 MHz
2026/07/04 19:10:38.511,53.0,100.0 %,1.0 %,182.0 MiB,8151.0 MiB,37.91 W,[N/A],2730.0 MHz,12001.0 MHz
2026/07/04 19:10:39.511,53.0,100.0 %,1.0 %,182.0 MiB,8151.0 MiB,37.85 W,[N/A],2737.0 MHz,12001.0 MHz
2026/07/04 19:10:40.511,53.0,100.0 %,1.0 %,182.0 MiB,8151.0 MiB,37.86 W,[N/A],2730.0 MHz,12001.0 MHz
2026/07/04 19:10:41.511,54.0,100.0 %,1.0 %,182.0 MiB,8151.0 MiB,37.9 W,[N/A],2730.0 MHz,12001.0 MHz
2026/07/04 19:10:42.511,54.0,100.0 %,1.0 %,182.0 MiB,8151.0 MiB,37.92 W,[N/A],2730.0 MHz,12001.0 MHz
2026/07/04 19:10:43.511,54.0,100.0 %,1.0 %,182.0 MiB,8151.0 MiB,37.92 W,[N/A],2730.0 MHz,12001.0 MHz
2026/07/04 19:10:44.511,54.0,100.0 %,1.0 %,182.0 MiB,8151.0 MiB,37.88 W,[N/A],2730.0 MHz,12001.0 MHz
2026/07/04 19:10:45.511,54.0,99.0 %,1.0 %,182.0 MiB,8151.0 MiB,37.91 W,[N/A],2737.0 MHz,12001.0 MHz
2026/07/04 19:10:46.511,54.0,100.0 %,1.0 %,182.0 MiB,8151.0 MiB,37.91 W,[N/A],2737.0 MHz,12001.0 MHz
2026/07/04 19:10:47.511,55.0,100.0 %,1.0 %,182.0 MiB,8151.0 MiB,37.95 W,[N/A],2737.0 MHz,12001.0 MHz
